date,A,AMZN,CAT,GDP,MSFT,NFLX,TSLA,XOM
2011-04-25,32.870356255586,185.42,90.023197698895,21.26,21.371555724128,35.95285714285714,26.39,70.24366700729
2011-04-26,33.70268989261,182.3,92.578748281253,21.94,21.855565967002,32.70142857142857,26.93,71.221310250259
2011-04-27,34.132501524843,196.63,93.132864426942,22.18,22.014121046564,33.708571428571425,27.08,71.514603223149
2011-04-28,34.330351323808,195.07,93.157675597644,21.99,22.289506184751,33.48142857142857,27.66,71.156134034061
2011-04-29,34.050632642513,195.81,95.448573692508,22.47,21.63025085394,33.238571428571426,27.6,71.677543763644
2011-05-02,34.412220206138,201.19,94.588453108155,21.64,21.413280745066,33.88457142857143,27.45,70.854694034145
2011-05-03,34.521378715912,198.45,93.678710182397,20.95,21.538455807878,33.034285714285716,26.87,69.754845385806
2011-05-04,33.770913961218,199.97,91.611112623855,20.43,21.747080912565,32.74142857142857,26.69,69.094936196802
2011-05-05,33.54577453481,197.11,90.46979877154,19.53,21.521765799503,32.90142857142857,26.44,67.310737278385
2011-05-06,33.927829319018,197.6,91.255485843786,19.58,21.588525833003,32.78142857142857,27.12,67.367766467558
2011-05-09,34.030165421931,200.8,92.347177354696,20.16,21.555145816253,33.77285714285714,27.91,67.76697079177
2011-05-10,34.569135563938,203.94,93.34789457303,19.91,21.421625749253,33.94714285714286,28.33,67.897323224166
2011-05-11,34.132501524843,204.38,90.957751795356,18.85,21.162930619441,34.381428571428565,27.07,66.471593494837
2011-05-12,34.337173730669,206.07,89.841249113744,18.45,21.129550602691,35.11,27.67,66.414233885065
2011-05-13,35.872215274361,202.56,87.939059359886,18.27,20.887545481255,35.21714285714285,27.55,66.266737745654
2011-05-16,35.694832695978,192.51,87.740569994266,17.85,20.503675288631,33.87,26.6,65.750501257713
2011-05-17,34.91025590698,194.81,84.424143510365,17.54,20.595470334693,33.848571428571425,25.96,65.889803167157
2011-05-18,35.292310691188,197.09,87.045857214596,17.93,20.738261115969,34.64857142857142,26.35,66.97963575281
2011-05-19,34.90343350012,198.805,87.087209165767,18.53,20.759259760275,34.675714285714285,28.2,67.463095320881
2011-05-20,34.58960278452,198.65,86.284981313052,19.2,20.570271961526,35.128571428571426,27.97,66.840333843366
2011-05-23,33.498017686784,196.22,84.267006095916,18.93,20.301489314418,35.40428571428571,26.82,66.102853146307
2011-05-24,33.218299005489,193.27,83.985812827954,19.14,20.284690398974,35.37142857142857,26.72,66.610895404281
2011-05-25,33.443438431897,192.26,85.391779167763,19.95,20.318288229862,37.06714285714286,28.98,67.159908812091
2011-05-26,33.695867485749,195.0,86.169195849774,20.08,20.721462200525,37.67857142857142,29.48,67.512260700685
2011-05-27,33.839138029827,194.13,86.508281849375,20.49,20.797057320024,37.787142857142854,29.55,67.708922219901
2011-05-31,34.02334301507,196.69,87.500728677475,20.45,21.007043763078,38.68571428571428,30.14,68.397237537155
2011-06-01,32.74755293209,192.395,83.729430730695,19.18,20.519875215194,38.18,28.517,67.217268421862
2011-06-02,32.870356255586,193.65,84.515117802941,19.14,20.343486603029,38.81428571428571,28.76,66.64367232415
2011-06-03,32.358675741022,188.32,83.613645267417,19.58,20.078903684781,39.10028571428571,30.13,66.52075887464
2011-06-06,32.10624668717,185.69,82.58811687838,18.84,20.167097990864,37.512857142857136,28.7,65.79147240755
2011-06-07,32.542880726265,187.55,82.604657658849,18.51,20.209095279474,37.669999999999995,28.37,65.553839738498
2011-06-08,32.570170353708,188.05,81.082905855762,18.2,20.108301786809,37.465714285714284,27.12,66.176601216013
2011-06-09,33.231943819211,189.68,82.09189346433,18.86,20.125100702253,37.51,27.62,66.52075887464
2011-06-10,32.877178662446,186.53,80.049107076491,18.59,19.910914530338,36.946,27.86,65.373566679217
2011-06-13,32.42689980963,186.29,78.932604394879,18.16,20.19229636403,36.745714285714286,28.43,64.922884031015
2011-06-14,33.409326397593,189.96,80.934038831547,18.76,20.343486603029,37.303999999999995,28.6,65.865220477255
2011-06-15,32.317741299857,185.98,79.106282589797,18.14,19.940312632366,36.73142857142857,27.32,64.455812922878
2011-06-16,32.10624668717,183.65,78.949145175347,18.16,20.15449880428,35.614285714285714,26.5,64.914689801047
2011-06-17,32.358675741022,186.37,79.354394296821,18.06,20.377084433917,35.09571428571428,26.5,64.750805201701
2011-06-20,33.006804392803,187.72,81.19869131904,17.79,20.553473046082,35.089999999999996,26.01,65.316207069445
2011-06-21,33.989230980765,194.23,83.853486584208,18.86,20.797057320024,36.23571428571429,27.53,66.020910846634
2011-06-22,33.395681583871,191.63,82.827958195171,18.59,20.704663285081,35.52285714285714,27.21,65.406343599086
2011-06-23,33.689045078888,194.16,83.158773804538,18.05,20.687864369636,36.53142857142857,27.71,64.275539863597
2011-06-24,33.081850868272,192.55,82.712172731893,17.98,20.410682264806,36.708571428571425,27.565,62.915297689023
2011-06-27,33.327457515263,201.25,83.365533560392,17.7,21.166633459798,37.16,27.46,63.849439905297
2011-06-28,34.439509833582,202.35,85.879732191578,18.1,21.670600923127,37.87,28.11,65.250653229707
2011-06-29,34.514556309051,204.18,85.482753460338,18.12,21.519410684128,37.848571428571425,28.29,65.75869548768
2011-06-30,34.869321465815,204.49,88.04657443293,18.41,21.83859007757,37.527142857142856,29.13,66.684643473987
2011-07-01,35.476515676431,209.49,89.83297872351,18.38,21.855388993014,38.284285714285716,29.02,67.200879961927
2011-07-05,35.244553843162,213.19,89.67584130906,18.32,21.863788450736,41.37571428571428,29.14,66.864916533267
2011-07-06,35.353712352936,214.19,91.040455697698,18.1,22.115772182401,41.56571428571428,28.96,66.840333843366
2011-07-07,35.735767137144,216.74,92.322366183994,18.46,22.485348322175,41.77428571428572,29.73,67.487678010783
2011-07-08,34.26894966206,218.28,91.313378575425,18.01,22.611340188007,42.16285714285714,28.81,67.536843390587
2011-07-11,33.491195279923,212.55,89.452540772738,17.24,22.367755914065,41.534285714285716,28.35,67.110743432287
2011-07-12,32.795309780116,211.23,88.435282773936,17.15,22.292160794566,41.60999999999999,28.17,67.10254920232
2011-07-13,32.843066628142,213.5,89.849519503978,17.69,22.367755914065,42.675714285714285,28.64,67.586008770391
2011-07-14,32.290451672413,210.38,88.972858139156,17.3,22.233364590511,40.94571428571428,27.61,67.389347251175
2011-07-15,32.119891500892,212.87,90.444987600838,18.73,22.493747779897,40.99,27.58,68.012108728691
2011-07-18,31.014661589434,211.53,89.53524467508,18.66,22.334158083176,39.857142857142854,27.23,67.725310679835
2011-07-19,32.02437780484,218.06,91.063490038736,19.97,23.13210656678,41.041428571428575,27.89,68.528345216632
2011-07-20,32.010732991118,215.55,91.619970687459,20.34,22.728932596117,40.199999999999996,28.69,68.257935627711
2011-07-21,32.010732991118,213.21,92.691403578283,20.45,22.758330698144,39.40142857142857,28.7,69.667343182088
2011-07-22,31.990265770536,216.52,87.334239124162,20.73,23.123707109058,39.51142857142857,29.29,69.831227781435
2011-07-25,31.655967834354,213.49,87.757828871697,20.73,23.442886502499,40.21857142857142,28.49,69.298602833559
2011-07-26,30.591672364061,214.18,87.375767530783,19.88,23.585677283775,38.13,28.0,69.134718234213
2011-07-27,28.967939531178,222.518,84.169774539634,19.53,22.955717954615,38.488571428571426,27.64,68.266129857678
2011-07-28,28.776912139074,223.9,82.757808714517,19.42,23.283296805778,38.08857142857143,28.17,66.750197313725
2011-07-29,28.763267325353,222.52,82.051825801958,19.83,23.01451415867,37.99857142857143,28.17,65.381760909184
2011-08-01,27.828597585416,221.32,83.654822297533,19.54,22.905321208282,37.62571428571428,28.77,65.226070539805
2011-08-02,26.566452316158,211.7,80.714611108759,18.95,22.510546695341,36.74285714285714,27.34,63.783886065558
2011-08-03,26.74383489454,209.96,79.967099789579,18.55,22.611340188007,37.14285714285714,27.2,63.68555530595
2011-08-04,25.181503723405,201.48,74.37737625838,18.4,21.788193331237,35.11,24.75,60.506194078633
2011-08-05,24.963186703858,202.7,75.573394369068,18.27,21.569807430461,34.44428571428571,24.24,61.30922861543
2011-08-08,22.213756738935,193.7,68.604927738048,15.09,20.561872503804,32.37714285714285,23.64,57.515300140564
2011-08-09,23.339453870975,205.09,72.658100224267,15.83,21.48581285324,33.97142857142857,25.06,58.703463485825
